ID	Код клиента	Номер заказа	Дата создания	Статус	Время выполнения заказа	Дата закрытия
1	45462527	45462527/12.03.2022	12.03.2022	Новая	78	
2	45462528	45462528/13.03.2022	13.03.2022	На исследовании	16	
3	45462529	45462529/14.03.2022	14.03.2022	На исследовании	28	
4	45462530	45462530/15.03.2022	15.03.2022	Новая	20	
5	45462531	45462531/16.03.2022	16.03.2022	Закрыта	72	16.04.2022
6	45462532	45462532/17.03.2022	17.03.2022	Новая	8	
7	45462533	45462533/18.03.2022	18.03.2022	Новая	48	
8	45462534	45462534/19.03.2022	19.03.2022	На исследовании	48	
9	123	123/20.03.2022	20.03.2022	На исследовании	78	
10	23	23/21.03.2022	21.03.2022	Новая	16	
11	8739	8739/22.03.2022	22.03.2022	Закрыта	78	22.04.2022
12	37728	37728/23.03.2022	23.03.2022	На исследовании	160	
13	3432	3432/24.03.2022	24.03.2022	На исследовании	28	
14	873	873/25.03.2022	25.03.2022	На исследовании	20	
15	8378	8378/26.03.2022	26.03.2022	Закрыта	72	26.04.2022
16	45462542	45462542/27.03.2022	27.03.2022	Новая	8	
17	45462543	45462543/28.03.2022	28.03.2022	На исследовании	48	
18	45462531	45462531/29.03.2022	29.03.2022	На исследовании	48	
19	45462532	45462532/30.03.2022	30.03.2022	Новая	78	
20	45462533	45462533/31.03.2022	31.03.2022	Новая	16	
21	45462534	45462534/01.04.2022	01.04.2022	Закрыта	78	02.05.2022
22	45462535	45462535/02.04.2022	02.04.2022	Новая	16	
23	123	123/03.04.2022	03.04.2022	Новая	28	
24	23	23/04.04.2022	04.04.2022	На исследовании	20	
25	8739	8739/05.04.2022	05.04.2022	На исследовании	72	
26	37728	37728/06.04.2022	06.04.2022	На исследовании	8	
27	3432	3432/07.04.2022	07.04.2022	На исследовании	48	
28	873	873/08.04.2022	08.04.2022	Закрыта	48	09.05.2022
29	378	378/09.04.2022	09.04.2022	Новая	78	
30	45462556	45462556/10.04.2022	10.04.2022	На исследовании	16	
31	45462557	45462557/11.04.2022	11.04.2022	На исследовании	78	
32	45462558	45462558/12.04.2022	12.04.2022	Новая	16	
33	45462559	45462559/13.04.2022	13.04.2022	Новая	28	
34	45462579	45462579/14.04.2022	14.04.2022	Новая	20	
35	45462580	45462580/15.04.2022	15.04.2022	На исследовании	72	
36	45462581	45462581/16.04.2022	16.04.2022	На исследовании	8	
37	45462582	45462582/17.04.2022	17.04.2022	На исследовании	48	
38	123	123/18.04.2022	18.04.2022	Закрыта	48	19.05.2022
39	23	23/19.04.2022	19.04.2022	На исследовании	78	
40	8739	8739/20.04.2022	20.04.2022	Новая	16	
41	37728	37728/21.04.2022	21.04.2022	Закрыта	78	22.05.2022
42	3432	3432/22.04.2022	22.04.2022	На исследовании	16	
43	873	873/23.04.2022	23.04.2022	На исследовании	28	
44	378	378/24.04.2022	24.04.2022	На исследовании	20	
45	45462534	45462534/25.04.2022	25.04.2022	На исследовании	72	
46	45462535	45462535/26.04.2022	26.04.2022	На исследовании	8	
47	45462536	45462536/27.04.2022	27.04.2022	Закрыта	48	28.05.2022
48	45462537	45462537/28.04.2022	28.04.2022	Новая	48	
49	45462575	45462575/29.04.2022	29.04.2022	Новая	78	
50	45462576	45462576/30.04.2022	30.04.2022	Новая	16	
